0.182012, 0.727272, -0.829587, 0.374858, 0.08221, -0.829587, 0.374858, 0.08221
0.374732, 0.90909, -0.739926, 0.820972, -0.27189, -0.739926, 0.820972, -0.27189
0.29122, 0.60606, -0.225198, -0.302778, 0.377884, -0.225198, -0.302778, 0.377884
0.385438, 0.60606, -0.269806, -0.249464, 0.377884, -0.269806, -0.249464, 0.377884
0.391862, 0.60606, -0.091368, -0.142828, 0.19816, -0.091368, -0.142828, 0.19816
0.366168, 0.545454, 0.069682, 0.479798, -0.50246, 0.069682, 0.479798, -0.50246
0.331906, 0.636364, -0.236258, -0.261364, 0.12389, -0.236258, -0.261364, 0.12389
0.072806, 0.60606, -0.403634, -0.569364, 0.437788, -0.403634, -0.569364, 0.437788
0.252676, 0.545454, -0.157148, -0.82149, 0.716008, -0.157148, -0.82149, 0.716008
0.182012, 0.636364, -0.32474, -0.79012, 0.539786, -0.32474, -0.79012, 0.539786
-0.004282, 0.60606, -0.403634, -0.569364, 0.258066, -0.403634, -0.569364, 0.258066
0.126338, 0.636364, -0.368984, -0.843, 0.539786, -0.368984, -0.843, 0.539786
0.4197, 0.484848, -0.271348, -0.310136, 0.322104, -0.271348, -0.310136, 0.322104
0.1606, 0.484848, -0.455936, -0.420444, 0.38408, -0.455936, -0.420444, 0.38408
0.319058, 0.484848, -0.455936, -0.420444, 0.38408, -0.455936, -0.420444, 0.38408
0.207708, 0.484848, -0.455936, -0.420444, 0.38408, -0.455936, -0.420444, 0.38408
0.327624, 0.848484, -0.225198, -0.23947, 0.25432, -0.225198, -0.23947, 0.25432
0.376874, 0.484848, -0.502086, -0.25498, 0.260136, -0.502086, -0.25498, 0.260136
0.263384, 0.515152, -0.556912, -0.267238, 0.490016, -0.556912, -0.267238, 0.490016
0.374732, 0.454546, -0.21356, -0.186872, 0.213788, -0.21356, -0.186872, 0.213788
0.029978, 0.60606, -0.314418, -0.835949, 0.437788, -0.314418, -0.835949, 0.437788
0.312634, 0.454546, -0.306656, -0.24251, 0.213788, -0.306656, -0.24251, 0.213788
