0.0875,0.1026,0.1029
0.0833,0.0983,0.0988
0.0792,0.0940,0.0947
0.0792,0.0940,0.0947
0.0792,0.0940,0.0947
0.0792,0.0940,0.0947
0.0833,0.0983,0.0988
0.0792,0.0940,0.0947
0.0792,0.0940,0.0947
0.0750,0.0897,0.0905
0.0792,0.0940,0.0947
0.0750,0.0897,0.0905
0.0750,0.0897,0.0905
0.0708,0.0855,0.0864
0.0708,0.0855,0.0864
0.0667,0.0940,0.0905
0.0708,0.0983,0.0947
0.0708,0.0983,0.0947
0.0708,0.0983,0.0947
0.0792,0.0940,0.0947
0.0792,0.0940,0.0947
0.0833,0.0983,0.0988
0.0792,0.0940,0.0947
0.0792,0.0940,0.0947
0.0833,0.0983,0.0988
0.0833,0.0983,0.0988
0.0833,0.1026,0.0905
0.0917,0.1068,0.0988
0.0917,0.1068,0.1070
0.0875,0.1026,0.1029
0.0875,0.1026,0.0947
0.0875,0.1026,0.0947
0.0958,0.1111,0.1070
0.0917,0.1068,0.1070
0.0875,0.1026,0.1029
0.0917,0.1068,0.0988
0.0917,0.1026,0.0947
0.0875,0.1111,0.0988
0.0750,0.1026,0.0905
0.0833,0.1068,0.0988
0.0917,0.1068,0.0988
0.0917,0.1068,0.0988
0.0833,0.0983,0.0905
0.0875,0.1026,0.0947
0.0958,0.1111,0.1029
0.0917,0.1068,0.0988
0.0875,0.1026,0.0947
0.0875,0.1026,0.0947
0.0917,0.1068,0.0988
0.0875,0.1026,0.0947
0.0917,0.1068,0.0988
0.0958,0.1111,0.1029
0.0958,0.1111,0.1070
0.1000,0.1154,0.1152
0.0958,0.1111,0.1111
0.0958,0.1111,0.1029
0.0917,0.1068,0.0988
0.0833,0.1068,0.0947
0.0833,0.1068,0.0947
0.0917,0.1026,0.0947
0.0958,0.1068,0.0947
0.0958,0.1026,0.1029
0.0917,0.1026,0.0988
0.0917,0.1026,0.0905
0.0917,0.1026,0.0905
0.0917,0.1026,0.0947
0.0917,0.1026,0.0905
0.0917,0.0983,0.0988
0.0917,0.0983,0.1029
0.0917,0.0983,0.1029
0.0917,0.0983,0.1029
0.0917,0.0940,0.1029
0.0917,0.1026,0.1029
0.0792,0.0940,0.0864
0.0708,0.0855,0.0782
0.0708,0.0855,0.0864
